charge_at_pH_val,gravy,molecular_weight,aromaticity,instability_index,isoelectric_point,secondary_structure_fraction (helix),secondary_structure_fraction (turn),secondary_structure_fraction (sheet),molar_extinction_coefficient (reduced),molar_extinction_coefficient (oxidized)
38.98532891,-0.445258621,26482.886,0.090517241,56.70607759,9.018562889,0.301724138,0.219827586,0.237068966,55920,56170
38.98532891,-0.445258621,26482.886,0.090517241,56.70607759,9.018562889,0.301724138,0.219827586,0.237068966,55920,56170
38.98532891,-0.445258621,26482.886,0.090517241,56.70607759,9.018562889,0.301724138,0.219827586,0.237068966,55920,56170
38.98532891,-0.445258621,26482.886,0.090517241,56.70607759,9.018562889,0.301724138,0.219827586,0.237068966,55920,56170
104.9361627,-0.387185629,88548.7456,0.044311377,46.43005988,5.521987724,0.210778443,0.270658683,0.291017964,42400,44275
18.9877421,0.296412556,24655.616,0.112107623,55.09511211,6.698895836,0.349775785,0.224215247,0.264573991,25900,26400
18.9877421,0.296412556,24655.616,0.112107623,55.09511211,6.698895836,0.349775785,0.224215247,0.264573991,25900,26400
18.9877421,0.296412556,24655.616,0.112107623,55.09511211,6.698895836,0.349775785,0.224215247,0.264573991,25900,26400
18.9877421,0.296412556,24655.616,0.112107623,55.09511211,6.698895836,0.349775785,0.224215247,0.264573991,25900,26400
123.9261552,-0.096780129,123905.9873,0.090156394,41.11905244,5.913437843,0.342226311,0.20975161,0.282428703,106120,107620
123.9261552,-0.096780129,123905.9873,0.090156394,41.11905244,5.913437843,0.342226311,0.20975161,0.282428703,106120,107620
56.93773578,-0.952685422,45373.6088,0.081841432,54.9071867,4.359971428,0.25831202,0.163682864,0.294117647,31400,31650
101.9379917,-0.414578005,85696.4643,0.086956522,38.0033376,5.896386147,0.273657289,0.239130435,0.267263427,115280,115655
79.95885375,-0.194258373,92155.3995,0.074162679,54.02894737,5.762814522,0.293062201,0.289473684,0.2715311,179330,180955
79.95885375,-0.194258373,92155.3995,0.074162679,54.02894737,5.762814522,0.293062201,0.289473684,0.2715311,179330,180955
